Date,F,M,S,V
2013-02-01,,,,
2013-02-04,,,,
2013-02-05,,,,
2013-02-06,,,,
2013-02-07,,,,
2013-02-08,,,,
2013-02-11,,,,
2013-02-12,,,,
2013-02-13,,,,
2013-02-14,,,,
2013-02-15,,,,
2013-02-18,,,,
2013-02-19,,,,
2013-02-20,,,,
2013-02-21,,,,
2013-02-22,,,,
2013-02-25,,,,
2013-02-26,,,,
2013-02-27,,,,
2013-02-28,,,,
2013-03-01,,,,
2013-03-04,,,,
2013-03-05,,,,
2013-03-06,,,,
2013-03-07,,,,
2013-03-08,,,,
2013-03-11,,,,
2013-03-12,,,,
2013-03-13,,,,
2013-03-14,,,,
2013-03-15,,,,
2013-03-18,,,,
2013-03-19,,,,
2013-03-20,,,,
2013-03-21,,,,
2013-03-22,,,,
2013-03-25,,,,
2013-03-26,,,,
2013-03-27,,,,
2013-03-28,,,,
2013-03-29,,,,
2013-03-31,,,,
2013-04-01,,,,
2013-04-02,,,,
2013-04-03,,,,
2013-04-04,,,,
2013-04-05,,,,
2013-04-08,,,,
2013-04-09,,,,
2013-04-10,,,,
2013-04-11,,,,
2013-04-12,,,,
2013-04-15,,,,
2013-04-16,,,,
2013-04-17,,,,
2013-04-18,,,,
2013-04-19,,,,
2013-04-22,,,,
2013-04-23,,,,
2013-04-24,,,,
2013-04-25,,,,
2013-04-26,,,,
2013-04-29,,0.6686725224151692,1.3215336484791294,-1.0616740168862167
2013-04-30,-0.9687736989541443,0.8652536741137555,1.594795168009665,-1.5653988401048662
2013-05-01,-0.9684359203571947,0.8648860466828959,1.1721675212865459,-2.089425949349563
2013-05-02,-0.9600447851379573,1.0013465488359385,1.6735752624504976,-2.4809571093997183
2013-05-03,-0.964393449552202,1.3112318582280673,2.244597864078407,-2.3644012339672047
2013-05-06,-0.9526201650897118,1.3203076391769877,2.0703233192326205,-2.164435448995779
2013-05-07,-0.9476337910458431,1.3946437199777766,1.7823543383002851,-2.1411398391406693
2013-05-08,-0.9404626102566596,1.3122331762433925,1.5003475439079021,-1.9368132912472993
2013-05-09,-0.9302380039165049,1.21249762891011,1.2945805034018163,-1.8163563393015603
2013-05-10,-0.9515571096287913,1.238126096279616,1.666245974992745,-1.538246907403154
2013-05-13,-0.8996416267101442,0.9544262152091241,1.4579069608324802,-0.8264488565464764
2013-05-14,-0.7967690020310639,1.056601636645421,1.687515984353627,-0.6882250584911221
2013-05-15,-0.7595928867267975,0.9578029110119639,1.4700433211191084,-0.9354884952688626
2013-05-16,-0.7579294110890257,0.8807270340002736,1.386168196331704,-0.7649231705970394
2013-05-17,-0.7346666571296723,1.0357422857629142,1.740896582672073,-0.4392298335306416
2013-05-20,-0.7305505071449355,1.061970012923443,1.5203245594709094,-0.14294899121095186
2013-05-21,-0.6901579176563205,1.0501082847515175,1.126119308359167,0.01550860972864478
2013-05-22,-0.6919787013053549,1.1566821874991395,1.1826787910571959,0.7286361122926809
2013-05-23,-0.701583231014873,0.5740795635251934,0.5889997853711532,1.370822200756751
2013-05-24,-0.6940647083198827,0.44831497114091773,0.28386449150203275,1.6603054824547212
2013-05-27,-0.6283513347941324,0.45211494000868496,0.5137451137343124,1.6173429279989218
2013-05-28,-0.6182106230737475,0.5275407845984471,0.42825349572951377,1.8823949339056978
2013-05-29,-0.5788169410287871,0.028673986428097042,-0.5080380053728798,3.0
2013-05-30,-0.44655493634586746,-0.01950958891378521,-0.6140926038678028,3.0
2013-05-31,-0.4130686826306206,-0.5250031349484965,-1.5916683374332627,3.0
2013-06-03,-0.31548164158907804,-1.0482075788880014,-2.544540510806363,3.0
2013-06-04,-0.42611288756377885,-1.057453747602406,-2.399660373851022,3.0
2013-06-05,-0.4055286362726253,-1.657410881378431,-3.0,3.0
2013-06-06,-0.37185630308545936,-1.9105517822667188,-3.0,3.0
2013-06-07,-0.3178002134318591,-1.8367862526878076,-2.7641354612997646,3.0
2013-06-10,-0.4004577572633898,-1.9437347240639908,-3.0,3.0
2013-06-11,-0.3933126514547477,-2.314810567604969,-3.0,3.0
2013-06-12,-0.36581639731052096,-2.0623859019761785,-3.0,3.0
2013-06-13,-0.3984569191622513,-1.9842012856126612,-2.63846291249921,2.6266666557409106
2013-06-14,-0.371075808549839,-1.5237233118641784,-2.0806392323035854,2.1935954556150525
2013-06-17,-0.34685505959454405,-1.3736928698274853,-1.8894904560713939,2.0788270818685692
2013-06-18,-0.34040369791357544,-1.6634264849769873,-2.035468454095287,2.1803509611183967
2013-06-19,-0.3043519639048478,-1.460069485286864,-1.580605933651256,2.0486488637078417
2013-06-20,-0.2716841839198279,-2.4938283093825526,-2.8546482781238245,2.759340457716389
2013-06-21,-0.22911709300424657,-2.4153568060093087,-2.494984857835733,2.6602927926022817
2013-06-24,-0.09881745750189294,-2.8834239346581527,-3.0,2.909281158547893
2013-06-25,-0.09086043360862571,-2.461171465117728,-2.483843906981278,2.5720431571218394
2013-06-26,-0.0639421873633693,-2.1314866464738382,-2.187107318376462,2.356632893041581
2013-06-27,-0.04648757504900933,-1.5588656103468332,-1.550202075227408,2.097326946866118
2013-06-28,-0.0756582731969861,-1.3090276655176498,-1.3896313833517693,1.9778559838005398
2013-06-30,,-1.7843303854873416,-1.2087973338517402,1.938681875669983
2013-07-01,-0.0069349948228483,-0.8608201298763702,-0.9151384575264873,1.8234945425884388
2013-07-02,0.03198725537953449,-0.8973044006671649,-0.8449372977903825,1.7356798816425119
2013-07-03,0.06366202044605741,-0.8122006470185972,-0.6356910722656939,1.8148472592241314
2013-07-04,0.10306121448694593,-0.6247939936042003,-0.383876252630235,1.7833882209863725
2013-07-05,0.0862763092350963,-0.6088128195445632,-0.19972619131669467,1.6577698824036198
2013-07-08,0.15347588921008232,-0.8026958490522268,-0.3139837709873336,1.7484800605020825
2013-07-09,0.19557051071640208,-0.3072715766490836,0.31273282980105743,1.6714550639029573
2013-07-10,0.09957714886289656,-0.2922949600094142,0.16246522336092462,1.6201238123610326
2013-07-11,0.16250023849726858,-0.11996496994376214,0.016493303189073726,1.6501373178902234
2013-07-12,-0.014374565410920333,-0.17480863375240457,-0.0673917664376095,1.5158752752616131
2013-07-15,0.03988725772992579,-0.16881494818702406,-0.12727535986567506,1.4529392453708143
2013-07-16,0.09099989000802218,0.01699001191273875,0.18730206418119394,1.340871878470186
