,label,group,Z_F,Z_M,Z_S,Z_V,Z_composite,n_agree,conviction_mult,conviction,abs_tilt_%,Z_relative,rel_tilt_%,final_tilt_%,Z_L1,Z_L2,tilt_L1_pct,tilt_L2_pct,tilt_hier_pct
lt_treasuries,LT US Treasuries,FI,0.069,-0.257,0.289,0.971,0.268,2,0.5,NEUTRAL,0.0,0.328,0.0,0.0,0.4936,-0.2256,0.0,0.0,0.0
lt_us_corp,LT US Corporate,FI,0.172,-0.703,-0.672,3.0,0.449,2,0.5,NEUTRAL,0.0,0.638,0.0,0.0,0.4936,-0.0446,0.0,0.0,0.0
lt_em_fi,LT EM Fixed Income,FI,-1.416,0.854,1.227,3.0,0.917,3,0.8,MEDIUM OW,1.2,1.438,1.2,1.2,0.4936,0.4234,0.0,0.0,0.0
us_equity,US Equity (Broad),EQ,0.034,0.668,-0.298,-0.631,-0.057,2,0.5,NEUTRAL,0.0,-0.228,0.0,0.0,-0.057,0.0,0.0,0.0,0.0
dm_equity,DM ex-US Equity,EQ,-0.455,-0.899,-0.698,-0.17,-0.556,3,0.8,NEUTRAL,0.0,-1.081,-1.6,-1.04,-0.556,0.0,-1.04,0.0,-1.04
em_equity,Emerging Markets Equity,EQ,-1.211,-0.289,-1.619,0.864,-0.564,3,0.8,NEUTRAL,0.0,-1.095,-1.6,-1.04,-0.564,0.0,-1.04,0.0,-1.04
