Date,F,M,S,V
2013-02-01,,,,
2013-02-04,,,,
2013-02-05,,,,
2013-02-06,,,,
2013-02-07,,,,
2013-02-08,,,,
2013-02-11,,,,
2013-02-12,,,,
2013-02-13,,,,
2013-02-14,,,,
2013-02-15,,,,
2013-02-18,,,,
2013-02-19,,,,
2013-02-20,,,,
2013-02-21,,,,
2013-02-22,,,,
2013-02-25,,,,
2013-02-26,,,,
2013-02-27,,,,
2013-02-28,,,,
2013-03-01,,,,
2013-03-04,,,,
2013-03-05,,,,
2013-03-06,,,,
2013-03-07,,,,
2013-03-08,,,,
2013-03-11,,,,
2013-03-12,,,,
2013-03-13,,,,
2013-03-14,,,,
2013-03-15,,,,
2013-03-18,,,,
2013-03-19,,,,
2013-03-20,,,,
2013-03-21,,,,
2013-03-22,,,,
2013-03-25,,,,
2013-03-26,,,,
2013-03-27,,,,
2013-03-28,,,,
2013-03-29,,,,
2013-03-31,,,,
2013-04-01,,,,
2013-04-02,,,,
2013-04-03,,,,
2013-04-04,,,,
2013-04-05,,,,
2013-04-08,,,,
2013-04-09,,,,
2013-04-10,,,,
2013-04-11,,,,
2013-04-12,,,,
2013-04-15,,,,
2013-04-16,,,,
2013-04-17,,,,
2013-04-18,,,,
2013-04-19,,,,
2013-04-22,,,,
2013-04-23,,,,
2013-04-24,,,,
2013-04-25,,,,
2013-04-26,,,,
2013-04-29,1.1301252934149577,1.703879802571868,-1.0921056445503972,-1.3468905082072025
2013-04-30,-1.465024169732181,1.47454775554781,-1.0838656646733549,-0.9802428464568007
2013-05-01,-1.4072001566091006,1.7796130577039668,-0.8161854568559173,-0.5608208418033305
2013-05-02,-1.3541987411552325,1.4356401530532465,-1.4360869924268447,-0.6869235036659156
2013-05-03,-1.3053504070518573,0.3647968612722033,-2.1696890114738387,-0.38543855673098065
2013-05-06,-1.2601100435993795,0.20012846085577568,-2.4264369431799095,-0.5614454234852462
2013-05-07,-1.2180286647799736,0.06720343608354966,-2.259849795678988,-0.3328821541856348
2013-05-08,2.2852694524483685,0.20729226417821647,-2.0746400785665147,-0.2486065781534192
2013-05-09,2.15648736371009,0.2596202815123443,-1.5770117112137092,-0.3716746740301222
2013-05-10,2.045830845628731,-0.5216570547283272,-1.4948296357467408,0.6804178253053683
2013-05-13,1.949336590785754,-0.6144489798638723,-1.1119389346085564,0.7015406594827606
2013-05-14,1.864158262846588,-1.22304134937702,-1.1634939276606868,1.4807311318614862
2013-05-15,1.7881916751053195,-0.7115358307714584,-1.0532241802819076,0.7598343166533931
2013-05-16,1.7198430887187264,-0.06167672843866827,-0.8167400942742915,0.19246851111007154
2013-05-17,1.6578802218578206,-0.7738264278589864,-1.1449563848438093,1.6016798930551692
2013-05-20,1.6013331935523294,-0.6335479199139307,-0.9965881812853846,0.9640623825348825
2013-05-21,1.5494267544454627,-0.7729453677936596,-0.7367944646018207,0.6690179844116749
2013-05-22,1.5015327569464856,-1.3358036657078058,-0.7405057192735464,2.0046261900711384
2013-05-23,1.4571360872782984,-1.446090925322407,0.06947554166982363,2.3070875011835033
2013-05-24,1.415809772842507,-1.4174367369107084,0.34344679739602557,2.167310725733656
2013-05-27,1.377196480012819,-1.7004512856709135,0.3433198348783746,2.0733404870927092
2013-05-28,1.3409945494544346,-2.9959070929292717,0.40996841523221683,3.0
2013-05-29,1.3069473096176698,-2.8706943159439406,1.1772963021722278,3.0
2013-05-30,1.2748347959130297,-2.7353778507177515,1.2176527978396476,3.0
2013-05-31,-1.3446947938875948,-2.7245891205615145,2.1282031104702828,3.0
2013-06-03,-1.3078199347022066,-1.9616056062015865,2.8459222573219427,2.912596784800338
2013-06-04,-1.273134408161588,-1.9814257429772038,2.823691437300313,2.7830915414660127
2013-06-05,-1.2404206239553581,-1.3890500664461958,3.0,2.3894699754533004
2013-06-06,-1.209490393729198,-1.285626473770484,3.0,2.337630520209777
2013-06-07,-1.1801799997978863,-1.8105050217530978,2.3085828052102535,2.542577036036731
2013-06-10,1.1716000370028021,-1.686706361725474,2.184199007830518,2.52248178457159
2013-06-11,1.1473999547295703,-1.705346272258479,2.5836569139664114,2.48940719575868
2013-06-12,1.1242585175773403,-1.769349703020122,2.5596935348313576,2.3669618173351017
2013-06-13,1.1020934779482456,-1.1038660599450267,2.2392080745359544,1.7811075927829072
2013-06-14,1.0808312649450058,-0.8967634165104569,1.9973899449424668,1.4336340241461791
2013-06-17,1.060405840715437,-0.6248773736838636,1.8298193818210595,1.0788896419807004
2013-06-18,1.040757735906826,-0.6842592810232508,1.7803250341794712,1.0029472974263378
2013-06-19,1.0218332319850678,-1.9557911634265204,1.4958059459788777,1.9267428744058988
2013-06-20,1.003583664692795,-2.2041357526103824,2.6682030944892414,2.0091047712419394
2013-06-21,0.9859648279850465,-2.845433749210886,1.9875073983841902,2.1116378656705272
2013-06-24,0.9689364617443326,-2.9662982369167925,2.4551149303257795,2.1212875951349046
2013-06-25,0.9524618096998364,-2.9929275603547087,2.136923911399098,2.0246411161890823
2013-06-26,0.9365072364525578,-1.9513299705089242,1.952360634822876,1.9267009079789554
2013-06-27,0.9210418944850337,-1.397674652118141,1.4116179261053559,1.7142798432337298
2013-06-28,0.9060374336212246,-1.4050996901532882,1.2799333482742605,1.6819172583030528
2013-06-30,-1.3784865122196528,-0.5311857710811837,1.2044340089237175,1.637962816131498
2013-07-01,-1.3478357637714578,-1.3789044409216664,0.8139357421684439,1.545525474920918
2013-07-02,-1.3187462226970386,-1.277582882226435,0.7281170213560337,1.4868474809119885
2013-07-03,-1.291084350971289,-1.633935465504641,0.2734831116210292,1.5210680947010187
2013-07-04,-1.264732188807298,-1.5460526234727823,0.18438319667099384,1.4871995022220907
2013-07-05,-1.2395850888572992,-2.0553036700322758,0.14043936181154532,1.456910328064022
2013-07-08,0.3855248622570477,-1.3067830358724695,0.30145183944749704,1.3046124470528777
2013-07-09,0.38080551020796194,-1.1793356103443298,-0.2794074880948344,1.326647533374367
2013-07-10,0.3761416503202408,-1.0832283938907057,-0.29635513069193997,1.238993589821593
2013-07-11,0.37153168960785266,-0.9878652956110108,-0.6286934461737412,1.1276009928061972
2013-07-12,0.366974097956255,-1.2723653731440008,-0.6999319006774382,1.1443854654519432
2013-07-15,0.3624674049770256,-1.1453902189607534,-0.6259813271499293,1.0863346962067104
