Date,F,M,S,V
2013-02-01,,,,
2013-02-04,,,,
2013-02-05,,,,
2013-02-06,,,,
2013-02-07,,,,
2013-02-08,,,,
2013-02-11,,,,
2013-02-12,,,,
2013-02-13,,,,
2013-02-14,,,,
2013-02-15,,,,
2013-02-18,,,,
2013-02-19,,,,
2013-02-20,,,,
2013-02-21,,,,
2013-02-22,,,,
2013-02-25,,,,
2013-02-26,,,,
2013-02-27,,,,
2013-02-28,,,,
2013-03-01,,,,
2013-03-04,,,,
2013-03-05,,,,
2013-03-06,,,,
2013-03-07,,,,
2013-03-08,,,,
2013-03-11,,,,
2013-03-12,,,,
2013-03-13,,,,
2013-03-14,,,,
2013-03-15,,,,
2013-03-18,,,,
2013-03-19,,,,
2013-03-20,,,,
2013-03-21,,,,
2013-03-22,,,,
2013-03-25,,,,
2013-03-26,,,,
2013-03-27,,,,
2013-03-28,,,,
2013-03-29,,,,
2013-03-31,,,,
2013-04-01,,,,
2013-04-02,,,,
2013-04-03,,,,
2013-04-04,,,,
2013-04-05,,,,
2013-04-08,,,,
2013-04-09,,,,
2013-04-10,,,,
2013-04-11,,,,
2013-04-12,,,,
2013-04-15,,,,
2013-04-16,,,,
2013-04-17,,,,
2013-04-18,,,,
2013-04-19,,,,
2013-04-22,,,,
2013-04-23,,,,
2013-04-24,,,,
2013-04-25,,,,
2013-04-26,,,,
2013-04-29,1.4280636679539678,2.5502407933311257,-1.022382339224875,-1.684158750375617
2013-04-30,2.4917301755042804,2.02489529407126,-1.170776079875207,-1.1394596819489693
2013-05-01,2.3802666657337737,2.4499745274910496,-0.6772406734865554,-0.7094398621301777
2013-05-02,2.201172294182387,2.0865115216396486,-0.9359781603216364,-0.9000058259857793
2013-05-03,2.016976471094745,0.8804771121314936,-1.4083831737754247,-0.49791305136976866
2013-05-06,1.9060314038580424,0.7082110693248808,-1.313681716856836,-0.6928329306213423
2013-05-07,1.8038419999645015,0.7231047772998672,-0.7503784481604571,-0.508154407890899
2013-05-08,1.4502909937639663,0.9739046899975009,-1.2558873612914063,-0.44872951516784726
2013-05-09,1.411745447955716,0.9263981193976375,-1.0774471155047753,-0.41149656427717596
2013-05-10,1.4021059543525294,-0.13890792114115608,0.3980275212582011,0.6001105273913394
2013-05-13,1.410716239677262,-0.2073853952324763,0.7095558085205906,0.8139703185382987
2013-05-14,1.3420699127985023,-0.8709144554514043,1.1514499207723823,1.5153956775980126
2013-05-15,1.299275732336231,-0.3634733993161354,1.3060644623927984,0.8664814564436519
2013-05-16,1.3251521298058335,0.4804737935296414,0.8205518812853985,0.23882790499877793
2013-05-17,1.3213221262087271,-0.5326473645320973,1.8859000900379856,1.604755784133919
2013-05-20,1.2930168548359464,-0.4109431534345148,1.900111308223267,1.1009459107214783
2013-05-21,1.3079009307248886,-0.5595056728197205,1.8133540147892933,0.7614241480729117
2013-05-22,1.3284522509780003,-1.322544245311372,3.0,2.2572814655019258
2013-05-23,1.303825785469123,-1.769761685847603,3.0,2.492015984119762
2013-05-24,1.2941995587964286,-1.5883549165972628,2.5930854073047693,2.29719422510237
2013-05-27,1.264269094285762,-1.9245778946011718,2.4447190982386044,2.1889770103210777
2013-05-28,1.22506804660719,-3.0,3.0,3.0
2013-05-29,1.2217674017635123,-3.0,3.0,3.0
2013-05-30,1.2310730423147132,-3.0,3.0,3.0
2013-05-31,1.3083372049884987,-3.0,3.0,3.0
2013-06-03,1.2847083423695582,-2.630251290877305,3.0,3.0
2013-06-04,1.2714393018604597,-2.6714120658488723,3.0,2.9688961612225024
2013-06-05,1.2398803101244964,-2.455533411695446,3.0,2.690578560490558
2013-06-06,1.2145143253974502,-2.4295942497612546,2.8949921107685515,2.61834197582461
2013-06-07,1.1621064494037439,-2.7666235485998354,2.2565250562730683,2.7963950305743253
2013-06-10,0.9907886191017952,-2.6222268391021832,2.4334349362205776,2.7724323384705287
2013-06-11,1.0470276406197094,-2.6686023258775338,2.361418074123032,2.7350419829145878
2013-06-12,1.0262381219058656,-2.6913647570216033,2.4161783981604934,2.623280235533264
2013-06-13,0.9523954675389414,-2.1035242351441124,2.0575995958314555,2.109026577373783
2013-06-14,0.9042643989425817,-1.7516776256494186,1.8122884961406718,1.750708858704462
2013-06-17,0.9021491653510331,-1.5958570421815508,1.7132649648330165,1.5378757544955217
2013-06-18,0.8207774251693232,-1.6904119546276013,1.8082486342666042,1.46550774698779
2013-06-19,0.8224306040859197,-2.6085159664436266,2.1281910849312906,2.220664102746599
2013-06-20,0.9229812795029658,-2.9279219208029224,2.9951182929736944,2.395243034988842
2013-06-21,1.0229135802523799,-3.0,3.0,2.489319149637028
2013-06-24,1.0317229811247883,-3.0,3.0,2.504285506264671
2013-06-25,1.0105129957813759,-2.9248821436087336,2.7611017500054134,2.3816567940349955
2013-06-26,0.9515183922968032,-2.4662388199667302,2.2653850575830847,2.209369469866532
2013-06-27,0.8432570468872064,-2.1317174771617418,1.8505549086576099,1.9520426334141392
2013-06-28,0.7297833850690214,-2.0397531122924035,1.9100514096368537,1.8983934439510788
2013-06-30,0.9709964006320028,-0.5583006730817701,1.846586457794498,1.8390671738647526
2013-07-01,0.9572136458151439,-1.9285356528397486,1.8140176974239015,1.7398298356806263
2013-07-02,0.9286608358993287,-1.7939660017149,2.0263072341032737,1.6642949140170857
2013-07-03,0.892878939023388,-1.8790395516958998,2.0012480866983893,1.6869893524137907
2013-07-04,0.8788306251935613,-1.7983294090311888,1.9278667214131961,1.6434470809515869
2013-07-05,0.8370943079176433,-1.9868516633212165,2.0905970128336846,1.7382578808757916
2013-07-08,0.6949773601849519,-1.6228466477606145,1.6125759055329392,1.5597761842129185
2013-07-09,0.6815177374139133,-1.4517901575223893,1.2137934313831589,1.5367213569806994
2013-07-10,0.6499715681628881,-1.344902974672424,1.1592622321150505,1.4738325733520772
2013-07-11,0.6627255247814232,-1.1555956896922057,0.9085436101844092,1.347733224925175
2013-07-12,0.6182921597891334,-1.289318934100691,0.919662516706149,1.3303499028143713
2013-07-15,0.5627001998488377,-1.1870846072840833,0.7015517442062209,1.2409538896643548
2013-07-16,0.5261288122167751,-1.0304163526680898,0.6892587618072319,1.1655004513117282
2013-07-17,0.5279427747741849,-0.6230984177563744,0.38326128058240666,1.0385841856423674
2013-07-18,0.5201773897920402,-0.39753431324001387,0.19648230925263527,1.048261661297583
