Date,F,M,S,V
2013-02-01,,,,
2013-02-04,,,,
2013-02-05,,,,
2013-02-06,,,,
2013-02-07,,,,
2013-02-08,,,,
2013-02-11,,,,
2013-02-12,,,,
2013-02-13,,,,
2013-02-14,,,,
2013-02-15,,,,
2013-02-18,,,,
2013-02-19,,,,
2013-02-20,,,,
2013-02-21,,,,
2013-02-22,,,,
2013-02-25,,,,
2013-02-26,,,,
2013-02-27,,,,
2013-02-28,,,,
2013-03-01,,,,
2013-03-04,,,,
2013-03-05,,,,
2013-03-06,,,,
2013-03-07,,,,
2013-03-08,,,,
2013-03-11,,,,
2013-03-12,,,,
2013-03-13,,,,
2013-03-14,,,,
2013-03-15,,,,
2013-03-18,,,,
2013-03-19,,,,
2013-03-20,,,,
2013-03-21,,,,
2013-03-22,,,,
2013-03-25,,,,
2013-03-26,,,,
2013-03-27,,,,
2013-03-28,,,,
2013-03-29,,,,
2013-03-31,,,,
2013-04-01,,,,
2013-04-02,,,,
2013-04-03,,,,
2013-04-04,,,,
2013-04-05,,,,
2013-04-08,,,,
2013-04-09,,,,
2013-04-10,,,,
2013-04-11,,,,
2013-04-12,,,,
2013-04-15,,,,
2013-04-16,,,,
2013-04-17,,,,
2013-04-18,,,,
2013-04-19,,,,
2013-04-22,,,,
2013-04-23,,,,
2013-04-24,,,,
2013-04-25,,,,
2013-04-26,,,,
2013-04-29,,0.4891434331545059,1.7725967964294052,0.9154066406549803
2013-04-30,-1.0268776327947535,0.7970375375696018,1.9607307881921072,0.751704871339646
2013-05-01,-1.0295708430239274,0.8309197638500088,1.9308086183803546,0.6971627247121452
2013-05-02,-1.0179715773583564,0.9137162530403516,2.0017270433539083,0.7187798875866848
2013-05-03,-1.0214333497149122,1.280132002718754,2.2795257744675763,0.6764446263774739
2013-05-06,-1.0079820552639014,1.2853966834805002,2.022572042376666,0.6346098887523103
2013-05-07,-1.0033013484085813,1.4403384819921319,1.7960799689714417,0.5696390583715226
2013-05-08,-0.9965031334301769,1.4073204065378289,1.4248148449336935,0.49184602125966786
2013-05-09,-0.9850916846796646,1.3198957562483078,1.4098441542797904,0.4713551873039716
2013-05-10,-1.016107006556607,1.3190484198313461,1.6001421575031884,0.5550552973760792
2013-05-13,-0.9583505524876121,0.9301448881310141,1.36947390505979,0.632168534688101
2013-05-14,-0.8347646067274989,1.0052012392934528,1.7292130545841284,0.5940906673443924
2013-05-15,-0.7964320651335076,0.8932236460797114,1.5128217230463559,0.5673582770599434
2013-05-16,-0.7998053405860089,0.748286688370431,1.5289444701114636,0.5173550217634687
2013-05-17,-0.7738449998365671,0.9044264483911191,1.681659559143885,0.5285706820469716
2013-05-20,-0.7714985394741487,0.970382763735311,1.6689185922824723,0.4826450716860411
2013-05-21,-0.7274964703353439,1.0539305518657263,1.3701666987928618,0.477897986493037
2013-05-22,-0.7303278881531813,1.1603351659172485,1.5926620326596417,0.3645414010841947
2013-05-23,-0.7425231589484109,0.45928423618446396,1.0400487152089446,0.6274283174789579
2013-05-24,-0.7385903584349802,0.3244665273537965,0.6781921396678275,0.5756680198814611
2013-05-27,-0.6715911243289728,0.29657507068790356,0.9201196966376695,0.5744822074971438
2013-05-28,-0.6642677725229883,0.41507974676960024,1.0132434124884733,0.4953735216671946
2013-05-29,-0.6269260582941549,-0.06730136826016389,0.15502027463519355,0.5321249473748187
2013-05-30,-0.47406095517400443,-0.11325625943703242,-0.08111722845384929,0.582376014534585
2013-05-31,-0.4395681970832618,-0.544007118981313,-0.45346561280265024,0.5986310347570133
2013-06-03,-0.3186709311997024,-0.9856270948828201,-1.626608262514261,0.7495665110053947
2013-06-04,-0.44828599844328637,-0.8844938773574582,-1.5773931739423208,0.5047121518445365
2013-06-05,-0.42650980971331875,-1.4155178683753393,-2.2067167211586547,0.7057548708014495
2013-06-06,-0.38982837102987944,-1.6711867457928453,-2.8205014950661518,0.83290465381428
2013-06-07,-0.330384375701964,-1.6658346875989443,-2.816111215131222,0.8475779959052973
2013-06-10,-0.4254290680684738,-1.7479098064242407,-3.0,0.981144892316336
2013-06-11,-0.41490265728921877,-2.0563158514019677,-3.0,1.174058174114489
2013-06-12,-0.3867495254885897,-1.7536469438002422,-2.592327872966727,1.0560818679194688
2013-06-13,-0.4218995424595636,-1.7272952145234601,-2.628473155039731,1.3151966676411468
2013-06-14,-0.38857540305249644,-1.2557023583087727,-1.77023248523641,1.0987513842732077
2013-06-17,-0.3531697949712108,-1.0730229804041795,-1.653923888762546,1.0666717718174836
2013-06-18,-0.3438307769583947,-1.4381789183498506,-1.9282535344392884,1.1436260260574393
2013-06-19,-0.3041916362069831,-1.2978257491250578,-1.3516639898718361,1.066092175154821
2013-06-20,-0.2689822858968902,-2.335131268675761,-2.2205532080282264,1.3344049904287005
2013-06-21,-0.22172540820112366,-2.3623857160046193,-2.217037815095959,1.421467824007266
2013-06-24,-0.06941418971899627,-2.743663023243838,-2.8942113687855944,1.474803527174494
2013-06-25,-0.05908410385286653,-2.333021338871837,-2.4734596884341387,1.4132805892727893
2013-06-26,-0.026968683469238086,-1.9060475327463002,-2.353675823202244,1.148829761268465
2013-06-27,-0.005517710635573256,-1.3614902638649131,-1.568516495523083,0.9717093659255059
2013-06-28,-0.037150789726181035,-1.045329865589488,-1.3605320701321502,0.5451927070893258
2013-06-30,,-1.9133531936413946,-1.123422317992911,-0.2658568760333629
2013-07-01,0.04239017849575351,-0.6521035112461403,-0.8284840899616017,0.5934863761606943
2013-07-02,0.0736818351348822,-0.8075956703816678,-0.7230855691316052,0.7114573408691593
2013-07-03,0.1070346110273162,-0.8551026012992946,-0.4894004770750534,0.9857786288977988
2013-07-04,0.15002952135403175,-0.6846313129832701,-0.14543192882532016,0.7731057148802111
2013-07-05,0.1313792441217811,-0.7219044909325493,-0.1694900811958465,0.7974964515991388
2013-07-08,0.2122912815728728,-1.0111604453151655,-0.3494698083003288,1.2143309188376434
2013-07-09,0.2588619994980792,-0.6189810031506273,0.4220736834098965,1.0838188384735536
2013-07-10,0.1470279484716675,-0.5442255836875161,0.1870080274810558,0.9958641503253537
2013-07-11,0.21842443856237725,-0.23935222995802957,-0.05502276121098998,0.643529653080211
2013-07-12,0.015147315945587023,-0.3015489616133376,-0.2049610496720576,0.6359297996568023
2013-07-15,0.07577010150291126,-0.2721778894117497,-0.2953842358299717,0.5176751990366233
