Date,F,M,S,V
2013-02-01,,,,
2013-02-04,,,,
2013-02-05,,,,
2013-02-06,,,,
2013-02-07,,,,
2013-02-08,,,,
2013-02-11,,,,
2013-02-12,,,,
2013-02-13,,,,
2013-02-14,,,,
2013-02-15,,,,
2013-02-18,,,,
2013-02-19,,,,
2013-02-20,,,,
2013-02-21,,,,
2013-02-22,,,,
2013-02-25,,,,
2013-02-26,,,,
2013-02-27,,,,
2013-02-28,,,,
2013-03-01,,,,
2013-03-04,,,,
2013-03-05,,,,
2013-03-06,,,,
2013-03-07,,,,
2013-03-08,,,,
2013-03-11,,,,
2013-03-12,,,,
2013-03-13,,,,
2013-03-14,,,,
2013-03-15,,,,
2013-03-18,,,,
2013-03-19,,,,
2013-03-20,,,,
2013-03-21,,,,
2013-03-22,,,,
2013-03-25,,,,
2013-03-26,,,,
2013-03-27,,,,
2013-03-28,,,,
2013-03-29,,,,
2013-03-31,,,,
2013-04-01,,,,
2013-04-02,,,,
2013-04-03,,,,
2013-04-04,,,,
2013-04-05,,,,
2013-04-08,,,,
2013-04-09,,,,
2013-04-10,,,,
2013-04-11,,,,
2013-04-12,,,,
2013-04-15,,,,
2013-04-16,,,,
2013-04-17,,,,
2013-04-18,,,,
2013-04-19,,,,
2013-04-22,,,,
2013-04-23,,,,
2013-04-24,,,,
2013-04-25,,,,
2013-04-26,,,,
2013-04-29,-1.0068141796005723,,-0.33783826913891524,-0.6718257315638355
2013-04-30,-1.3968701799112588,1.3617057058425592,-0.16230999265864887,-0.70887506188384
2013-05-01,-1.3820487025368102,0.5319799409682101,0.40287576529143687,-0.5200015897029974
2013-05-02,-1.2592362654327511,1.4679445736513856,0.7500933587787042,-0.5537730538330371
2013-05-03,-1.2632194116398738,2.1748424666182267,-0.6254786219343254,-0.7245208146601452
2013-05-06,-1.2572460970981065,2.502158541569085,-1.1174111506174171,-0.7073504443476336
2013-05-07,-1.332919842002276,2.955816003086295,-0.8504734671661227,-0.6768957606946276
2013-05-08,-1.327191699542644,2.596690065913423,-0.6214110164975207,-0.7249696780138656
2013-05-09,-1.295598401038362,2.100524832603354,0.0908178489790164,-0.6175197419665155
2013-05-10,-1.2665956983379691,2.132670249035485,-0.9158286780685283,-0.6561140239859506
2013-05-13,-1.2405240199716536,1.8399192731303728,-0.8625886081531395,-0.6492140755166881
2013-05-14,-1.2119184071347533,2.0022423440331174,-1.1997813595517741,-0.8142148617122019
2013-05-15,-1.2190131204218468,2.3247595016016165,-0.6712214306902204,-0.8650436823002516
2013-05-16,-1.331757204500517,1.401640815680963,-0.0190621316652772,-0.8015293554724647
2013-05-17,-1.2442461365698307,2.025691971087438,-1.1282510699064063,-0.9885952903274057
2013-05-20,-1.2190380726599834,2.203887272502812,-0.9763544562238896,-1.0130431790006862
2013-05-21,-1.3811119840214798,2.7306444075993426,-0.29296895242527515,-0.9644169516624229
2013-05-22,-1.344035374629717,2.0146707231635976,0.3760551346878498,-0.9522377016977761
2013-05-23,-1.2581370979455033,1.8889725423770276,-0.27547950177048197,-0.9073524876076353
2013-05-24,-1.2222960274262815,1.2216032944353585,0.6229924173136147,-0.8401116135594223
2013-05-27,-1.2384315244098367,0.9681592120927737,0.6176662029919178,-0.8225896139805298
2013-05-28,-1.1647317712721916,1.2006516237291804,0.014517374242530278,-0.9892579116039634
2013-05-29,-1.1535434873345773,1.0720769743604506,0.44489498335018457,-1.0164381836129393
2013-05-30,-1.1583635364148521,0.826106849740571,0.415605625811439,-1.0582010512864517
2013-05-31,-0.9324039151855942,0.02026436865088605,1.331766975644945,-0.8752267064792822
2013-06-03,-0.9956328336922232,0.1622711711470039,0.7821243379574111,-0.8908841738482236
2013-06-04,-0.9727050472330225,-0.36017329666931663,1.2379753135232052,-0.8455584067676529
2013-06-05,-1.0241357883804199,-0.9242289263321953,2.0249366316709567,-0.6979571245148104
2013-06-06,-1.012970543233308,-0.6615395929744138,2.256454896426114,-0.7959979550854707
2013-06-07,-0.991395846842115,-0.07485930570088623,0.8938476392736528,-0.9751447669948873
2013-06-10,-1.1126545128594647,0.37990728612040736,0.831263286265139,-1.058248259321307
2013-06-11,-1.0702413860837492,-0.4167512471704338,1.7991448771664869,-0.9118727594933852
2013-06-12,-1.0350847943405697,-0.2466922854336466,2.2484540992001527,-0.898509195799357
2013-06-13,-0.7824147145232487,0.5260516575307652,1.2165368718148704,-1.019129602955449
2013-06-14,-0.7818941844196139,-0.07731898248486854,1.519333181650431,-0.826052479117055
2013-06-17,-0.6187876412430202,0.3217914896004264,0.6551698961859975,-0.9787973218540262
2013-06-18,-0.6302637574337695,0.25185434465800416,0.4660358945068165,-1.0388132757357988
2013-06-19,-0.6181305949644869,-0.5977839167101352,1.0879439553382446,-0.956150289039905
2013-06-20,-0.586004017566418,-1.7065304699127637,2.4250898877555813,-0.8204888441077046
2013-06-21,-0.5738559448727935,-1.6461489744370041,1.79899372058188,-0.9915517452668322
2013-06-24,-0.5023117926317958,-1.8696609506473878,1.5430931457285153,-0.7297826525762524
2013-06-25,-0.4135430168607169,-1.2633324172407334,1.042290203746816,-0.9607059320459399
2013-06-26,-0.5032302744323529,-0.7346013596777312,0.5697063977179997,-0.997459737607986
2013-06-27,-0.7135769186225802,-0.27093648674726817,1.3638286395101509,-1.011774626951891
2013-06-28,-0.7244400501975867,-0.5683611169893112,0.4023619693614179,-0.968094922845368
2013-06-30,-1.1680996898944003,,0.40078198816388394,-1.5962828450942153
2013-07-01,-0.7957106477954573,-0.2121544974449027,0.2867663306763718,-0.9189482321582683
2013-07-02,-0.758746570820829,-0.683498547403182,0.654094985657693,-0.8105599216786329
2013-07-03,-0.9466168917698791,-0.6922567163898502,0.7319115307769799,-0.8027554303789747
2013-07-04,-0.9263950778265276,-1.0762268932688863,0.30895587851571743,-0.7873237745543844
2013-07-05,-0.9257484641018449,-0.602222788640744,-0.27002338000615606,-1.1026616402883769
2013-07-08,-0.9183832327344282,-0.296880189009362,0.37835723528015813,-1.1401199831669566
2013-07-09,-0.9092234635916915,0.16122645686178397,0.21983830103291263,-1.2445099623380431
2013-07-10,-0.919754194682095,0.19922667838648322,0.17792577147927463,-1.2252324541627462
2013-07-11,-0.9551404066010516,1.1769104432906332,-1.1392914105142882,-1.1614981634534358
2013-07-12,-0.9525082074209255,1.1403230520747327,-0.12219451547472607,-1.1371062304097848
