Date,F,M,S,V
2010-12-31,,,,
2011-01-03,,,,
2011-01-04,,,,
2011-01-05,,,,
2011-01-06,,,,
2011-01-07,,,,
2011-01-10,,,,
2011-01-11,,,,
2011-01-12,,,,
2011-01-13,,,,
2011-01-14,,,,
2011-01-17,,,,
2011-01-18,,,,
2011-01-19,,,,
2011-01-20,,,,
2011-01-21,,,,
2011-01-24,,,,
2011-01-25,,,,
2011-01-26,,,,
2011-01-27,,,,
2011-01-28,,,,
2011-01-31,,,,
2011-02-01,,,,
2011-02-02,,,,
2011-02-03,,,,
2011-02-04,,,,
2011-02-07,,,,
2011-02-08,,,,
2011-02-09,,,,
2011-02-10,,,,
2011-02-11,,,,
2011-02-14,,,,
2011-02-15,,,,
2011-02-16,,,,
2011-02-17,,,,
2011-02-18,,,,
2011-02-21,,,,
2011-02-22,,,,
2011-02-23,,,,
2011-02-24,,,,
2011-02-25,,,,
2011-02-28,,,,
2011-03-01,,,,
2011-03-02,,,,
2011-03-03,,,,
2011-03-04,,,,
2011-03-07,,,,
2011-03-08,,,,
2011-03-09,,,,
2011-03-10,,,,
2011-03-11,,,,
2011-03-14,,,,
2011-03-15,,,,
2011-03-16,,,,
2011-03-17,,,,
2011-03-18,,,,
2011-03-21,,,,
2011-03-22,,,,
2011-03-23,,,,
2011-03-24,,,,
2011-03-25,,,,
2011-03-28,,,,
2011-03-29,,,,
2011-03-30,,,,
2011-03-31,,,,
2011-04-01,,,,
2011-04-04,,,,
2011-04-05,,,,
2011-04-06,,,,
2011-04-07,,,,
2011-04-08,,,,
2011-04-11,,,,
2011-04-12,,,,
2011-04-13,,,,
2011-04-14,,,,
2011-04-15,,,,
2011-04-18,,,,
2011-04-19,,,,
2011-04-20,,,,
2011-04-21,,,,
2011-04-22,,,,
2011-04-25,,,,
2011-04-26,,,,
2011-04-27,,,,
2011-04-28,,,,
2011-04-29,,,,
2011-04-30,,,,
2011-05-02,,,,
2011-05-03,,,,
2011-05-04,,,,
2011-05-05,,,,
2011-05-06,,,,
2011-05-09,,,,
2011-05-10,,,,
2011-05-11,,,,
2011-05-12,,,,
2011-05-13,,,,
2011-05-16,,,,
2011-05-17,,,,
2011-05-18,,,,
2011-05-19,,,,
2011-05-20,,,,
2011-05-23,,,,
2011-05-24,,,,
2011-05-25,,,,
2011-05-26,,,,
2011-05-27,,,,
2011-05-30,,,,
2011-05-31,,,,
2011-06-01,,,,
2011-06-02,,,,
2011-06-03,,,,
2011-06-06,,,,
2011-06-07,,,,
2011-06-08,,,,
2011-06-09,,,,
2011-06-10,,,,
2011-06-13,,,,
2011-06-14,,,,
2011-06-15,,,,
2011-06-16,,,,
2011-06-17,,,,
2011-06-20,,,,
2011-06-21,,,,
2011-06-22,,,1.1166766676621172,
2011-06-23,-0.6534441565777658,,2.6995889272850015,2.6588791309250883
2011-06-24,-0.02847736344452348,,2.761098388574093,1.9003468940720067
2011-06-27,-0.22515270004301308,,2.583774286554688,1.8376409334639672
2011-06-28,-0.326008586621043,,1.8250175503074269,1.45970962139588
2011-06-29,-0.23333188607811,,0.5019531077740582,-0.3079168402880026
2011-06-30,-0.3709184657819584,,-0.39757487923015994,-1.9998036576718747
2011-07-01,-0.4091706443633068,,-0.8981063422158169,-1.8176135350523193
2011-07-04,-0.259626344305566,,-0.8905627977832316,-2.159768808146476
2011-07-05,-0.4982472051870554,,-0.6791439179271458,-1.8263367723776565
2011-07-06,-0.03448784034845162,,-0.21760700292447366,-0.9750356309418107
2011-07-07,0.14608262562081187,,-0.3374125662103096,-1.5373153247847358
2011-07-08,0.1913626712267331,,0.39201732066072653,-0.752803656403204
2011-07-11,0.6433313166811668,,1.8271199223930457,1.0347669017472694
2011-07-12,0.37207520104621133,,2.6099135333746526,1.4310822673602874
2011-07-13,0.21387381662211127,,1.6548742993439998,0.16386085894514302
2011-07-14,0.9624999680737701,,2.0500653026922473,0.7622695601968404
2011-07-15,1.0584471388079404,,1.8807322634242691,1.1428909310126114
2011-07-18,1.1561976231362023,,2.672578931032263,2.0141599882152765
2011-07-19,0.9661025505227117,,1.947868986814075,1.3586411258482216
2011-07-20,0.7985322977682807,,1.5679464968237216,0.26772135354215615
2011-07-21,0.8212398185386556,,0.30990575448212526,-1.0935083861387247
2011-07-22,0.057991390329017956,,0.197716096173398,-1.7748655509877123
2011-07-25,0.46803500543337273,,1.1413038753523355,-1.0035203569479367
2011-07-26,0.7666601496232515,,1.3178185150372743,-1.6846442220072049
2011-07-27,0.5718689035443559,,1.9109295961729702,-0.7932241523197002
2011-07-28,0.1345148118503147,,2.080025189242323,-0.5555487131801462
2011-07-29,0.12397772268432648,,2.2999668422551713,-0.03168533509172206
2011-07-31,-0.09247074438953888,,1.9361677384088494,
2011-08-01,0.22848003672088715,,1.9986932294720259,0.8238824709983915
2011-08-02,0.12017495268959338,,2.067858184086246,1.491592546219608
2011-08-03,0.17718888158689738,,1.8280970337733258,2.0756406929004108
2011-08-04,0.7704721130866765,,2.3287172994947505,1.7560750858574528
2011-08-05,0.24691901356788268,,2.222925986798319,2.0883579221288207
2011-08-08,-0.24669789762287625,,2.1296789867205916,1.2639704330777106
2011-08-09,-0.4953662716338078,,2.0466552767848123,1.9934248717140068
2011-08-10,-1.3443797026761766,,1.9720945604751836,1.4645845290483475
2011-08-11,-1.3622077079556894,,1.904634244250478,1.8995133252993812
2011-08-12,-1.4188384274150134,,1.8432008472711856,1.4194317929556686
2011-08-15,-1.4162379574489177,,1.47240741330964,1.3970921147545226
2011-08-16,-2.8322140491894414,,1.4114379400544461,1.2102625964446911
2011-08-17,-3.0,,0.9496071143725958,1.0430176364354844
2011-08-18,-3.0,,1.6593350242399427,1.0915669309369442
2011-08-19,-3.0,,1.6672243695845197,1.0961558682582084
2011-08-22,-2.930422233051988,,1.6245335139963484,1.0335657289764013
2011-08-23,-3.0,,1.3741273580692768,1.385046969095631
2011-08-24,-3.0,,1.212393680933794,1.3541229170165014
2011-08-25,-2.871390679945403,,1.326288774620622,1.2424213829379627
2011-08-26,-2.672171284533165,,1.055513461729616,1.524291869241021
2011-08-29,-2.4789570690453897,,0.7527566284246261,1.4903745424292452
2011-08-30,-2.3334705045638353,,0.7405101982566582,1.3245930878408765
2011-08-31,-2.1904244782758115,,0.4609124371566579,0.8230548424559153
2011-09-01,-2.002898599537689,,0.5304912815784549,0.5086127991476967
2011-09-02,-1.785229641234033,,0.7883367864622548,0.51489478061222
2011-09-05,-1.7394553165094273,,1.0108308529087378,1.5382001214770058
2011-09-06,-1.5924945887029762,,1.158943996080655,1.5354084815319127
2011-09-07,-1.0538430721955103,,0.8421225356701536,1.1941868910991298
2011-09-08,-1.0828253226616502,,0.5604662629664057,0.7597379368239755
2011-09-09,-0.9378376922751928,,1.1140982073348638,1.0628197284447545
2011-09-12,-0.9873577847061936,,1.2516941239734296,1.67420395227152
2011-09-13,-0.9450810109858138,,0.9609191091198833,1.5172700232028726
2011-09-14,-0.9360421675980738,,0.744699165831798,1.557575054784658
2011-09-15,-0.907184257374925,,0.48529165647397415,1.0489967531501125
2011-09-16,-0.8633238402755872,,0.37507737907615574,0.9820648446206488
2011-09-19,-0.9144845576867465,,0.648309038281027,1.4044828881830935
2011-09-20,-0.8526918217555836,,0.48279215773592365,0.9164647263472003
2011-09-21,-0.8911125912668649,,0.5869901323095534,0.7125589148020238
2011-09-22,-0.9048887115349452,,0.9201616315554675,1.193314529172227
2011-09-23,-0.9503349018656977,,0.8543798391576971,1.1107415015571642
2011-09-26,-0.76440083236038,,0.7622532119474784,1.387907617970747
2011-09-27,-0.5497074251295718,,0.5156891073292487,0.24012412395657073
2011-09-28,-0.6880506391866048,,0.6146153744316577,0.16593265171649632
2011-09-29,-0.7619881342706797,,0.4895120424615366,0.07905798904289356
2011-09-30,-0.65125206919332,,0.7018682808866612,0.28477424613869706
2011-10-03,-0.7655719817924495,,0.7824988444200534,0.08996056001788845
2011-10-04,-0.715868723142721,,0.6788778577131884,0.9898900940196008
2011-10-05,-0.6522340403471434,,0.39873765549505436,0.7904706749173862
2011-10-06,-0.7104641944908435,,0.21932470776805232,0.044499078368555996
2011-10-07,-0.5612860270026241,,0.08455593339713759,-0.5802311882821808
2011-10-10,0.04220153933253921,,-0.10925760649826934,-0.34504402975911797
2011-10-11,0.05276173050032768,,-0.11973982563802467,-0.471092902132612
2011-10-12,0.1337121348866013,,-0.2830387148543458,-0.6645441895947432
2011-10-13,0.25119317534224056,,-0.18697354436643812,-0.5356643995856423
2011-10-14,0.4999683041971708,,-0.3995151380069852,-0.3617045889606172
2011-10-17,0.4888856108006138,,-0.13658171393479218,-0.7192603513820488
2011-10-18,0.5382164272476049,,-0.15730461504749096,0.1350264258329444
2011-10-19,0.6474375670408888,,-0.06032307781548585,-0.5379508960758694
2011-10-20,0.6892790316652646,,0.10337321782867379,0.1365346131565273
2011-10-21,0.7953119609917708,,-0.17557642837142043,-0.259720453904572
2011-10-24,0.9528224034101183,,-0.332172979290463,-0.29536386394153813
2011-10-25,0.9982341195817127,,-0.22357191977534568,-0.5569735744475469
2011-10-26,0.9386962748663359,,-0.312413451648013,-0.24474716194006155
2011-10-27,1.1545085605873247,,-0.7667578233120678,-0.8296120708675534
2011-10-28,1.0352839998563919,,-0.764423767948156,-0.9919781229355341
2011-10-31,1.090290448861106,,-0.44217701116955893,-0.5485338987384225
2011-11-01,1.1641010896388448,,0.13159402921640614,-0.03854555465735746
2011-11-02,1.1937860430254585,,0.02106705728614087,-0.09703195054318263
2011-11-03,1.2139016234586717,,-0.14068360553074594,-0.0008440953123558685
2011-11-04,0.9134890125484493,,-0.13617609033771316,-0.4550101818099146
2011-11-07,0.8825565517663093,,-0.10003095328842493,-0.22559952604641978
2011-11-08,0.6529049077197197,,-0.22668082300698286,-0.2011072901698659
2011-11-09,0.7193383708814869,,0.13077875077949344,-0.6169180896027673
2011-11-10,0.5786332759469157,,0.06108673724533346,-0.01661368862685264
2011-11-11,0.6595340219406501,,-0.22881956913424373,-0.41426235899766733
2011-11-14,1.0269141855470756,,-0.1606414659375214,-0.3480782849823486
2011-11-15,0.7672753849426284,,-0.24476239266047417,0.0434747310675185
2011-11-16,0.7894815412758416,,-0.14637943290399924,-0.27354013341920447
2011-11-17,0.7697474008025195,,-0.057865544087875115,-0.40694136973627987
2011-11-18,0.9296610252761984,,-0.26393060610059255,-0.10256607277827832
2011-11-21,1.1005152430635465,,-0.06685847125673836,0.4464366588279601
2011-11-22,1.1200785669020166,,-0.1742662250525994,0.46849764685416984
2011-11-23,1.0786148894843373,,-0.12998151775890873,0.6065713219040403
2011-11-24,1.3409822963881906,,-0.16982469427820637,0.7283508648745578
2011-11-25,1.177502891785945,,-0.15721028709779167,0.5981368433031553
2011-11-28,0.9957308223509871,,-0.2792098874930841,-0.035626420418402194
2011-11-29,0.9963219520218112,,-0.4092714054834126,-0.5024356642562173
2011-11-30,1.0173088091032538,,-0.5370395216331979,-0.8168082423489075
2011-12-01,1.1724299254488681,,-0.5680057382113088,-0.8179035387069634
2011-12-02,1.172701755819169,,-0.5558146473139814,-1.1245857725930808
2011-12-05,1.106494077087923,,-0.5648556077708026,-1.2193362310313949
2011-12-06,1.4028704249841515,,-0.4923396193514442,-0.8276821992957205
2011-12-07,1.368222434208207,,-0.43699485397192434,-1.0004675795884939
2011-12-08,1.3777277844556228,,-0.2734222215780661,-0.8724577331461392
2011-12-09,1.3254350414351914,,-0.6691693033026254,-0.6002558462201082
2011-12-12,1.2627395330215798,,-0.6721893099384301,-0.32330295736524256
2011-12-13,1.3235095564726975,,-0.8268885708007956,-0.36180580313944866
2011-12-14,1.2767229438137984,,-0.7369779920540973,0.1802415597790416
2011-12-15,1.2611743613504343,,-0.8805094750532428,0.02293103919073883
2011-12-16,1.31530657624799,,-0.9502660768531064,0.07166363604670123
2011-12-19,1.2364265047198837,,-0.887407009453376,-0.09887980240748773
2011-12-20,1.5580449883523566,,-0.9928505042646205,-0.31711212245882703
2011-12-21,1.5666900008839142,,-1.0545071855131314,-0.18408477015260452
2011-12-22,1.5921451272088905,,-1.0863468199576176,-0.3760736408561676
2011-12-23,1.5812654803534043,,-1.1445038710933937,-0.4043353299342976
2011-12-26,1.1401972928719566,,-1.130549718565412,-0.5079316598612483
2011-12-27,1.611583832525367,,-1.0694576852098399,-0.6118068796733447
2011-12-28,1.5254821016560898,,-0.8600753921866341,-0.0731769682403977
2011-12-29,1.2824395691281183,,-0.8558687710962001,-0.10211637453867056
2011-12-30,1.1709459802424493,,-0.8278312084311934,-1.0902049695909974
2011-12-31,1.5744633493129538,,-1.0961466275860874,
2012-01-02,0.43740228261014796,,-0.9063069859168341,-1.4639753492813146
2012-01-03,1.047534809732349,,-0.9800566167526242,-1.7625971975361066
2012-01-04,0.9835675393010634,,-1.0020420331869917,-1.4736558288680448
2012-01-05,0.9781785456122458,,-0.9661731085541393,-0.7289739915664788
2012-01-06,0.8045366276738936,,-1.0327125277553686,-0.38232155176098737
2012-01-09,0.7573181066162373,,-1.0109214632291195,-0.268665490978341
2012-01-10,0.849999173926653,,-1.1276593675661548,-0.8964539073929144
2012-01-11,0.8254977079934668,,-1.099273244002811,-0.6280315927612067
2012-01-12,0.8847433721247356,,-1.107208322691574,-0.8232641684192405
2012-01-13,0.9185742387468692,,-1.040179826544203,-0.7874037900794932
2012-01-16,0.9438263432703788,,-1.1012327154727666,-0.9106988271523684
2012-01-17,1.7465729119609705,,-1.0570656404538283,-1.506898502721368
2012-01-18,1.720017114623444,,-1.0858584818336556,-1.5978234724270388
2012-01-19,1.6586794314830484,,-1.1836515153671372,-2.0580984455872913
2012-01-20,1.6223160996213237,,-1.3172843475344649,-2.2305127935702775
2012-01-23,1.5094249514352092,,-1.2933662788083518,-2.6331401775981806
2012-01-24,1.5054179709777864,,-1.265029276880928,-2.257873357344377
2012-01-25,1.6670849251600746,,-1.2743860454255949,-2.3958242334791
2012-01-26,1.6640195215294407,,-1.3031696330617395,-3.0
2012-01-27,1.3788937046747787,,-1.2626724005441894,-2.7050577639004816
2012-01-30,1.3674257052653833,,-1.1364207519674432,-2.3728943960299724
2012-01-31,1.3083174319356279,,-1.095085128191238,-2.643542320646693
2012-02-01,1.3327771947693887,,-1.2278898342953102,-2.7678470755289046
2012-02-02,1.3199621459300233,,-1.2492127382663463,-2.608851290137371
2012-02-03,1.3116249819873238,,-1.3239198230238547,-2.4357526851292395
2012-02-06,1.4018922902833242,,-1.221325298744071,-2.3327023082630545
2012-02-07,1.1528158338236734,,-1.2094473563229224,-2.362941626339795
2012-02-08,1.1409362595260681,,-1.1373596458619872,-2.2726753110174216
2012-02-09,1.042409556161922,,-1.1152124070797718,-2.8225577766244374
